tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	family	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	order	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	species	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.06873000877546731
Gold standard	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.09915644282062162
Gold standard	phylum	Shannon diversity	CAMI_HIGH_S004	1.3384852251913892
Gold standard	phylum	Shannon equitability	CAMI_HIGH_S004	0.538646079644715
Gold standard	class	Shannon diversity	CAMI_HIGH_S004	2.140571182516083
Gold standard	class	Shannon equitability	CAMI_HIGH_S004	0.7030893108203597
Gold standard	order	Shannon diversity	CAMI_HIGH_S004	2.761660778751162
Gold standard	order	Shannon equitability	CAMI_HIGH_S004	0.7486448969405287
Gold standard	family	Shannon diversity	CAMI_HIGH_S004	3.728430574374636
Gold standard	family	Shannon equitability	CAMI_HIGH_S004	0.8327339954229356
Gold standard	genus	Shannon diversity	CAMI_HIGH_S004	4.5608486060051625
Gold standard	genus	Shannon equitability	CAMI_HIGH_S004	0.8657880429370031
Gold standard	species	Shannon diversity	CAMI_HIGH_S004	1.9752487345988399
Gold standard	species	Shannon equitability	CAMI_HIGH_S004	0.35958977611537746
Gold standard	strain	Shannon diversity	CAMI_HIGH_S004	6.595741391941316
Gold standard	strain	Shannon equitability	CAMI_HIGH_S004	0.9450643498571228
Gold standard	superkingdom	F1 score	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	False negatives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	False positives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Taxon counts	CAMI_HIGH_S004	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	True positives	CAMI_HIGH_S004	2.0
Gold standard	genus	F1 score	CAMI_HIGH_S004	1.0
Gold standard	genus	False negatives	CAMI_HIGH_S004	0.0
Gold standard	genus	False positives	CAMI_HIGH_S004	0.0
Gold standard	genus	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	genus	Taxon counts	CAMI_HIGH_S004	194.0
Gold standard	genus	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	genus	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	genus	True positives	CAMI_HIGH_S004	194.0
Gold standard	species	F1 score	CAMI_HIGH_S004	1.0
Gold standard	species	False negatives	CAMI_HIGH_S004	0.0
Gold standard	species	False positives	CAMI_HIGH_S004	0.0
Gold standard	species	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	species	Taxon counts	CAMI_HIGH_S004	243.0
Gold standard	species	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	species	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	species	True positives	CAMI_HIGH_S004	243.0
Gold standard	order	F1 score	CAMI_HIGH_S004	1.0
Gold standard	order	False negatives	CAMI_HIGH_S004	0.0
Gold standard	order	False positives	CAMI_HIGH_S004	0.0
Gold standard	order	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	order	Taxon counts	CAMI_HIGH_S004	40.0
Gold standard	order	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	order	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	order	True positives	CAMI_HIGH_S004	40.0
Gold standard	class	F1 score	CAMI_HIGH_S004	1.0
Gold standard	class	False negatives	CAMI_HIGH_S004	0.0
Gold standard	class	False positives	CAMI_HIGH_S004	0.0
Gold standard	class	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	class	Taxon counts	CAMI_HIGH_S004	21.0
Gold standard	class	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	class	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	class	True positives	CAMI_HIGH_S004	21.0
Gold standard	strain	F1 score	CAMI_HIGH_S004	1.0
Gold standard	strain	False negatives	CAMI_HIGH_S004	0.0
Gold standard	strain	False positives	CAMI_HIGH_S004	0.0
Gold standard	strain	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	strain	Taxon counts	CAMI_HIGH_S004	1074.0
Gold standard	strain	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	strain	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	strain	True positives	CAMI_HIGH_S004	1074.0
Gold standard	phylum	F1 score	CAMI_HIGH_S004	1.0
Gold standard	phylum	False negatives	CAMI_HIGH_S004	0.0
Gold standard	phylum	False positives	CAMI_HIGH_S004	0.0
Gold standard	phylum	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	phylum	Taxon counts	CAMI_HIGH_S004	12.0
Gold standard	phylum	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	phylum	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	phylum	True positives	CAMI_HIGH_S004	12.0
Gold standard	family	F1 score	CAMI_HIGH_S004	1.0
Gold standard	family	False negatives	CAMI_HIGH_S004	0.0
Gold standard	family	False positives	CAMI_HIGH_S004	0.0
Gold standard	family	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	family	Taxon counts	CAMI_HIGH_S004	88.0
Gold standard	family	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	family	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	family	True positives	CAMI_HIGH_S004	88.0
Gold standard	class	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	family	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	genus	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	order	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	phylum	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	species	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	strain	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	na	Weighted UniFrac error	CAMI_HIGH_S004	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_HIGH_S004	0.0
Metalign	class	Bray-Curtis distance	CAMI_HIGH_S004	0.0880406098067365
Metalign	family	Bray-Curtis distance	CAMI_HIGH_S004	0.15611092114523983
Metalign	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.23514614862259353
Metalign	order	Bray-Curtis distance	CAMI_HIGH_S004	0.3507990209679621
Metalign	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.038780708521934264
Metalign	species	Bray-Curtis distance	CAMI_HIGH_S004	0.8844858534212557
Metalign	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.9650391048826853
Metalign	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.015624707477114754
Metalign	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.12020909536508136
Metalign	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.08671253287647568
Metalign	phylum	Shannon diversity	CAMI_HIGH_S004	1.2310668159147653
Metalign	phylum	Shannon equitability	CAMI_HIGH_S004	0.4799575525082179
Metalign	class	Shannon diversity	CAMI_HIGH_S004	2.1039868627604243
Metalign	class	Shannon equitability	CAMI_HIGH_S004	0.6383771249306915
Metalign	order	Shannon diversity	CAMI_HIGH_S004	2.970863083784507
Metalign	order	Shannon equitability	CAMI_HIGH_S004	0.7348071758129584
Metalign	family	Shannon diversity	CAMI_HIGH_S004	3.6154530635410795
Metalign	family	Shannon equitability	CAMI_HIGH_S004	0.7800786351743304
Metalign	genus	Shannon diversity	CAMI_HIGH_S004	4.408551422533871
Metalign	genus	Shannon equitability	CAMI_HIGH_S004	0.8133055912609595
Metalign	species	Shannon diversity	CAMI_HIGH_S004	6.290356967454899
Metalign	species	Shannon equitability	CAMI_HIGH_S004	0.8557707813171734
Metalign	strain	Shannon diversity	CAMI_HIGH_S004	6.2903569674549065
Metalign	strain	Shannon equitability	CAMI_HIGH_S004	0.8557707813171744
Metalign	superkingdom	F1 score	CAMI_HIGH_S004	0.6666666666666666
Metalign	superkingdom	False negatives	CAMI_HIGH_S004	0.0
Metalign	superkingdom	False positives	CAMI_HIGH_S004	2.0
Metalign	superkingdom	Jaccard index	CAMI_HIGH_S004	0.5
Metalign	superkingdom	Taxon counts	CAMI_HIGH_S004	4.0
Metalign	superkingdom	Purity (precision)	CAMI_HIGH_S004	0.5
Metalign	superkingdom	Completeness (recall)	CAMI_HIGH_S004	1.0
Metalign	superkingdom	True positives	CAMI_HIGH_S004	2.0
Metalign	genus	F1 score	CAMI_HIGH_S004	0.7952380952380953
Metalign	genus	False negatives	CAMI_HIGH_S004	27.0
Metalign	genus	False positives	CAMI_HIGH_S004	59.0
Metalign	genus	Jaccard index	CAMI_HIGH_S004	0.6600790513833992
Metalign	genus	Taxon counts	CAMI_HIGH_S004	226.0
