tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	family	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	order	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	species	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_low_S001	0.47404061812816134
Gold standard	superkingdom	Shannon equitability	CAMI_low_S001	0.6838960489534373
Gold standard	phylum	Shannon diversity	CAMI_low_S001	1.6471831966453045
Gold standard	phylum	Shannon equitability	CAMI_low_S001	0.9193104459243973
Gold standard	class	Shannon diversity	CAMI_low_S001	2.1395668019073213
Gold standard	class	Shannon equitability	CAMI_low_S001	0.8610250216400919
Gold standard	order	Shannon diversity	CAMI_low_S001	2.180105888611575
Gold standard	order	Shannon equitability	CAMI_low_S001	0.8260926597336964
Gold standard	family	Shannon diversity	CAMI_low_S001	2.0921900724845233
Gold standard	family	Shannon equitability	CAMI_low_S001	0.7545980605426357
Gold standard	genus	Shannon diversity	CAMI_low_S001	2.2153967399565477
Gold standard	genus	Shannon equitability	CAMI_low_S001	0.7167150802311343
Gold standard	species	Shannon diversity	CAMI_low_S001	1.395716779280865
Gold standard	species	Shannon equitability	CAMI_low_S001	0.4451345412121158
Gold standard	strain	Shannon diversity	CAMI_low_S001	2.0822879184699707
Gold standard	strain	Shannon equitability	CAMI_low_S001	0.5085766199754967
Gold standard	class	F1 score	CAMI_low_S001	1.0
Gold standard	class	False negatives	CAMI_low_S001	0.0
Gold standard	class	False positives	CAMI_low_S001	0.0
Gold standard	class	Jaccard index	CAMI_low_S001	1.0
Gold standard	class	Taxon counts	CAMI_low_S001	12.0
Gold standard	class	Purity (precision)	CAMI_low_S001	1.0
Gold standard	class	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	class	True positives	CAMI_low_S001	12.0
Gold standard	superkingdom	F1 score	CAMI_low_S001	1.0
Gold standard	superkingdom	False negatives	CAMI_low_S001	0.0
Gold standard	superkingdom	False positives	CAMI_low_S001	0.0
Gold standard	superkingdom	Jaccard index	CAMI_low_S001	1.0
Gold standard	superkingdom	Taxon counts	CAMI_low_S001	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_low_S001	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	superkingdom	True positives	CAMI_low_S001	2.0
Gold standard	species	F1 score	CAMI_low_S001	1.0
Gold standard	species	False negatives	CAMI_low_S001	0.0
Gold standard	species	False positives	CAMI_low_S001	0.0
Gold standard	species	Jaccard index	CAMI_low_S001	1.0
Gold standard	species	Taxon counts	CAMI_low_S001	23.0
Gold standard	species	Purity (precision)	CAMI_low_S001	1.0
Gold standard	species	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	species	True positives	CAMI_low_S001	23.0
Gold standard	family	F1 score	CAMI_low_S001	1.0
Gold standard	family	False negatives	CAMI_low_S001	0.0
Gold standard	family	False positives	CAMI_low_S001	0.0
Gold standard	family	Jaccard index	CAMI_low_S001	1.0
Gold standard	family	Taxon counts	CAMI_low_S001	16.0
Gold standard	family	Purity (precision)	CAMI_low_S001	1.0
Gold standard	family	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	family	True positives	CAMI_low_S001	16.0
Gold standard	order	F1 score	CAMI_low_S001	1.0
Gold standard	order	False negatives	CAMI_low_S001	0.0
Gold standard	order	False positives	CAMI_low_S001	0.0
Gold standard	order	Jaccard index	CAMI_low_S001	1.0
Gold standard	order	Taxon counts	CAMI_low_S001	14.0
Gold standard	order	Purity (precision)	CAMI_low_S001	1.0
Gold standard	order	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	order	True positives	CAMI_low_S001	14.0
Gold standard	genus	F1 score	CAMI_low_S001	1.0
Gold standard	genus	False negatives	CAMI_low_S001	0.0
Gold standard	genus	False positives	CAMI_low_S001	0.0
Gold standard	genus	Jaccard index	CAMI_low_S001	1.0
Gold standard	genus	Taxon counts	CAMI_low_S001	22.0
Gold standard	genus	Purity (precision)	CAMI_low_S001	1.0
Gold standard	genus	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	genus	True positives	CAMI_low_S001	22.0
Gold standard	phylum	F1 score	CAMI_low_S001	1.0
Gold standard	phylum	False negatives	CAMI_low_S001	0.0
Gold standard	phylum	False positives	CAMI_low_S001	0.0
Gold standard	phylum	Jaccard index	CAMI_low_S001	1.0
Gold standard	phylum	Taxon counts	CAMI_low_S001	6.0
Gold standard	phylum	Purity (precision)	CAMI_low_S001	1.0
Gold standard	phylum	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	phylum	True positives	CAMI_low_S001	6.0
Gold standard	strain	F1 score	CAMI_low_S001	1.0
Gold standard	strain	False negatives	CAMI_low_S001	0.0
Gold standard	strain	False positives	CAMI_low_S001	0.0
Gold standard	strain	Jaccard index	CAMI_low_S001	1.0
Gold standard	strain	Taxon counts	CAMI_low_S001	60.0
Gold standard	strain	Purity (precision)	CAMI_low_S001	1.0
Gold standard	strain	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	strain	True positives	CAMI_low_S001	60.0
Gold standard	class	L1 norm error	CAMI_low_S001	0.0
Gold standard	family	L1 norm error	CAMI_low_S001	0.0
Gold standard	genus	L1 norm error	CAMI_low_S001	0.0
Gold standard	order	L1 norm error	CAMI_low_S001	0.0
Gold standard	phylum	L1 norm error	CAMI_low_S001	0.0
Gold standard	species	L1 norm error	CAMI_low_S001	0.0
Gold standard	strain	L1 norm error	CAMI_low_S001	0.0
Gold standard	superkingdom	L1 norm error	CAMI_low_S001	0.0
Gold standard	na	Weighted UniFrac error	CAMI_low_S001	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_low_S001	0.0
Metalign	class	Bray-Curtis distance	CAMI_low_S001	0.31328311761932925
Metalign	family	Bray-Curtis distance	CAMI_low_S001	0.3603270125018995
Metalign	genus	Bray-Curtis distance	CAMI_low_S001	0.2895025448118553
Metalign	order	Bray-Curtis distance	CAMI_low_S001	0.44519077409716395
Metalign	phylum	Bray-Curtis distance	CAMI_low_S001	0.15683295689810192
Metalign	species	Bray-Curtis distance	CAMI_low_S001	0.7732671980786721
Metalign	strain	Bray-Curtis distance	CAMI_low_S001	0.9203504778971325
Metalign	superkingdom	Bray-Curtis distance	CAMI_low_S001	0.1817525731861687
Metalign	superkingdom	Shannon diversity	CAMI_low_S001	0.0
Metalign	superkingdom	Shannon equitability	CAMI_low_S001	0.0
Metalign	phylum	Shannon diversity	CAMI_low_S001	1.6510339508687808
Metalign	phylum	Shannon equitability	CAMI_low_S001	0.9214595927767565
Metalign	class	Shannon diversity	CAMI_low_S001	2.234802469660449
Metalign	class	Shannon equitability	CAMI_low_S001	0.8993506737370238
Metalign	order	Shannon diversity	CAMI_low_S001	2.3176130951993263
Metalign	order	Shannon equitability	CAMI_low_S001	0.8359022297858473
Metalign	family	Shannon diversity	CAMI_low_S001	2.2505209423190413
Metalign	family	Shannon equitability	CAMI_low_S001	0.7280783024749221
Metalign	genus	Shannon diversity	CAMI_low_S001	2.438736600714587
Metalign	genus	Shannon equitability	CAMI_low_S001	0.7318688253580092
Metalign	species	Shannon diversity	CAMI_low_S001	2.5444579857152805
Metalign	species	Shannon equitability	CAMI_low_S001	0.5911755353637214
Metalign	strain	Shannon diversity	CAMI_low_S001	2.54445798571528
Metalign	strain	Shannon equitability	CAMI_low_S001	0.5911755353637212
Metalign	class	F1 score	CAMI_low_S001	0.9166666666666666
Metalign	class	False negatives	CAMI_low_S001	1.0
Metalign	class	False positives	CAMI_low_S001	1.0
Metalign	class	Jaccard index	CAMI_low_S001	0.8461538461538461
Metalign	class	Taxon counts	CAMI_low_S001	12.0
Metalign	class	Purity (precision)	CAMI_low_S001	0.9166666666666666
Metalign	class	Completeness (recall)	CAMI_low_S001	0.9166666666666666
Metalign	class	True positives	CAMI_low_S001	11.0
Metalign	superkingdom	F1 score	CAMI_low_S001	0.6666666666666666
Metalign	superkingdom	False negatives	CAMI_low_S001	1.0
Metalign	superkingdom	False positives	CAMI_low_S001	0.0
Metalign	superkingdom	Jaccard index	CAMI_low_S001	0.5
Metalign	superkingdom	Taxon counts	CAMI_low_S001	1.0
Metalign	superkingdom	Purity (precision)	CAMI_low_S001	1.0
Metalign	superkingdom	Completeness (recall)	CAMI_low_S001	0.5
Metalign	superkingdom	True positives	CAMI_low_S001	1.0
Metalign	species	F1 score	CAMI_low_S001	0.3711340206185567
Metalign	species	False negatives	CAMI_low_S001	5.0
Metalign	species	False positives	CAMI_low_S001	56.0
Metalign	species	Jaccard index	CAMI_low_S001	0.22784810126582278
Metalign	species	Taxon counts	CAMI_low_S001	74.0
Metalign	species	Purity (precision)	CAMI_low_S001	0.24324324324324326
Metalign	species	Completeness (recall)	CAMI_low_S001	0.782608695652174
Metalign	species	True positives	CAMI_low_S001	18.0
Metalign	family	F1 score	CAMI_low_S001	0.7894736842105263
Metalign	family	False negatives	CAMI_low_S001	1.0
Metalign	family	False positives	CAMI_low_S001	7.0
Metalign	family	Jaccard index	CAMI_low_S001	0.6521739130434783
Metalign	family	Taxon counts	CAMI_low_S001	22.0
Metalign	family	Purity (precision)	CAMI_low_S001	0.6818181818181818
Metalign	family	Completeness (recall)	CAMI_low_S001	0.9375
Metalign	family	True positives	CAMI_low_S001	15.0
Metalign	order	F1 score	CAMI_low_S001	0.7999999999999999
Metalign	order	False negatives	CAMI_low_S001	2.0
Metalign	order	False positives	CAMI_low_S001	4.0
Metalign	order	Jaccard index	CAMI_low_S001	0.6666666666666666
Metalign	order	Taxon counts	CAMI_low_S001	16.0
Metalign	order	Purity (precision)	CAMI_low_S001	0.75
Metalign	order	Completeness (recall)	CAMI_low_S001	0.8571428571428571
Metalign	order	True positives	CAMI_low_S001	12.0
Metalign	genus	F1 score	CAMI_low_S001	0.76
Metalign	genus	False negatives	CAMI_low_S001	3.0
Metalign	genus	False positives	CAMI_low_S001	9.0
