tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	peabody	0.0
Gold standard	family	Bray-Curtis distance	peabody	0.0
Gold standard	genus	Bray-Curtis distance	peabody	0.0
Gold standard	order	Bray-Curtis distance	peabody	0.0
Gold standard	phylum	Bray-Curtis distance	peabody	0.0
Gold standard	species	Bray-Curtis distance	peabody	0.0
Gold standard	strain	Bray-Curtis distance	peabody	0.0
Gold standard	superkingdom	Bray-Curtis distance	peabody	0.0
Gold standard	superkingdom	Shannon diversity	peabody	0.0
Gold standard	superkingdom	Shannon equitability	peabody	0.0
Gold standard	phylum	Shannon diversity	peabody	0.9596148356708106
Gold standard	phylum	Shannon equitability	peabody	0.8734790658806383
Gold standard	class	Shannon diversity	peabody	1.4241298405939191
Gold standard	class	Shannon equitability	peabody	0.8848616213098132
Gold standard	order	Shannon diversity	peabody	1.9072839069017116
Gold standard	order	Shannon equitability	peabody	0.9172096780181423
Gold standard	family	Shannon diversity	peabody	1.9072839069017118
Gold standard	family	Shannon equitability	peabody	0.9172096780181423
Gold standard	genus	Shannon diversity	peabody	1.9072839069017116
Gold standard	genus	Shannon equitability	peabody	0.9172096780181423
Gold standard	species	Shannon diversity	peabody	2.3693820619323684
Gold standard	species	Shannon equitability	peabody	0.9881090674853673
Gold standard	strain	Shannon diversity	peabody	2.3978952727983707
Gold standard	strain	Shannon equitability	peabody	1.0
Gold standard	order	F1 score	peabody	1.0
Gold standard	order	False negatives	peabody	0.0
Gold standard	order	False positives	peabody	0.0
Gold standard	order	Jaccard index	peabody	1.0
Gold standard	order	Taxon counts	peabody	8.0
Gold standard	order	Purity (precision)	peabody	1.0
Gold standard	order	Completeness (recall)	peabody	1.0
Gold standard	order	True positives	peabody	8.0
Gold standard	family	F1 score	peabody	1.0
Gold standard	family	False negatives	peabody	0.0
Gold standard	family	False positives	peabody	0.0
Gold standard	family	Jaccard index	peabody	1.0
Gold standard	family	Taxon counts	peabody	8.0
Gold standard	family	Purity (precision)	peabody	1.0
Gold standard	family	Completeness (recall)	peabody	1.0
Gold standard	family	True positives	peabody	8.0
Gold standard	phylum	F1 score	peabody	1.0
Gold standard	phylum	False negatives	peabody	0.0
Gold standard	phylum	False positives	peabody	0.0
Gold standard	phylum	Jaccard index	peabody	1.0
Gold standard	phylum	Taxon counts	peabody	3.0
Gold standard	phylum	Purity (precision)	peabody	1.0
Gold standard	phylum	Completeness (recall)	peabody	1.0
Gold standard	phylum	True positives	peabody	3.0
Gold standard	class	F1 score	peabody	1.0
Gold standard	class	False negatives	peabody	0.0
Gold standard	class	False positives	peabody	0.0
Gold standard	class	Jaccard index	peabody	1.0
Gold standard	class	Taxon counts	peabody	5.0
Gold standard	class	Purity (precision)	peabody	1.0
Gold standard	class	Completeness (recall)	peabody	1.0
Gold standard	class	True positives	peabody	5.0
Gold standard	strain	F1 score	peabody	1.0
Gold standard	strain	False negatives	peabody	0.0
Gold standard	strain	False positives	peabody	0.0
Gold standard	strain	Jaccard index	peabody	1.0
Gold standard	strain	Taxon counts	peabody	11.0
Gold standard	strain	Purity (precision)	peabody	1.0
Gold standard	strain	Completeness (recall)	peabody	1.0
Gold standard	strain	True positives	peabody	11.0
Gold standard	superkingdom	F1 score	peabody	1.0
Gold standard	superkingdom	False negatives	peabody	0.0
Gold standard	superkingdom	False positives	peabody	0.0
Gold standard	superkingdom	Jaccard index	peabody	1.0
Gold standard	superkingdom	Taxon counts	peabody	1.0
Gold standard	superkingdom	Purity (precision)	peabody	1.0
Gold standard	superkingdom	Completeness (recall)	peabody	1.0
Gold standard	superkingdom	True positives	peabody	1.0
Gold standard	species	F1 score	peabody	1.0
Gold standard	species	False negatives	peabody	0.0
Gold standard	species	False positives	peabody	0.0
Gold standard	species	Jaccard index	peabody	1.0
Gold standard	species	Taxon counts	peabody	11.0
Gold standard	species	Purity (precision)	peabody	1.0
Gold standard	species	Completeness (recall)	peabody	1.0
Gold standard	species	True positives	peabody	11.0
Gold standard	genus	F1 score	peabody	1.0
Gold standard	genus	False negatives	peabody	0.0
Gold standard	genus	False positives	peabody	0.0
Gold standard	genus	Jaccard index	peabody	1.0
Gold standard	genus	Taxon counts	peabody	8.0
Gold standard	genus	Purity (precision)	peabody	1.0
Gold standard	genus	Completeness (recall)	peabody	1.0
Gold standard	genus	True positives	peabody	8.0
Gold standard	class	L1 norm error	peabody	0.0
Gold standard	family	L1 norm error	peabody	0.0
Gold standard	genus	L1 norm error	peabody	0.0
Gold standard	order	L1 norm error	peabody	0.0
Gold standard	phylum	L1 norm error	peabody	0.0
Gold standard	species	L1 norm error	peabody	0.0
Gold standard	strain	L1 norm error	peabody	0.0
Gold standard	superkingdom	L1 norm error	peabody	0.0
Gold standard	na	Weighted UniFrac error	peabody	0.0
Gold standard	na	Unweighted UniFrac error	peabody	0.0
Metalign	class	Bray-Curtis distance	peabody	0.05284014981015688
Metalign	family	Bray-Curtis distance	peabody	0.07481004600545689
Metalign	genus	Bray-Curtis distance	peabody	0.08112101640802445
Metalign	order	Bray-Curtis distance	peabody	0.0724396882574656
Metalign	phylum	Bray-Curtis distance	peabody	0.0454540365138489
Metalign	species	Bray-Curtis distance	peabody	0.8160387681411084
Metalign	strain	Bray-Curtis distance	peabody	1.0
Metalign	superkingdom	Bray-Curtis distance	peabody	0.0
Metalign	superkingdom	Shannon diversity	peabody	0.0
Metalign	superkingdom	Shannon equitability	peabody	0.0
Metalign	phylum	Shannon diversity	peabody	0.8948158009174201
Metalign	phylum	Shannon equitability	peabody	0.8144964426005464
Metalign	class	Shannon diversity	peabody	1.3610354227046115
Metalign	class	Shannon equitability	peabody	0.8456588552994835
Metalign	order	Shannon diversity	peabody	1.8530880604280768
Metalign	order	Shannon equitability	peabody	0.8433767214977393
Metalign	family	Shannon diversity	peabody	1.863442887938719
Metalign	family	Shannon equitability	peabody	0.8092829635736453
Metalign	genus	Shannon diversity	peabody	1.8519898167440139
Metalign	genus	Shannon equitability	peabody	0.8043089579529398
Metalign	species	Shannon diversity	peabody	2.8223564641090686
Metalign	species	Shannon equitability	peabody	0.8381670653868287
Metalign	strain	Shannon diversity	peabody	2.8223564641090686
Metalign	strain	Shannon equitability	peabody	0.8381670653868287
Metalign	order	F1 score	peabody	0.9411764705882353
Metalign	order	False negatives	peabody	0.0
Metalign	order	False positives	peabody	1.0
Metalign	order	Jaccard index	peabody	0.8888888888888888
Metalign	order	Taxon counts	peabody	9.0
Metalign	order	Purity (precision)	peabody	0.8888888888888888
Metalign	order	Completeness (recall)	peabody	1.0
Metalign	order	True positives	peabody	8.0
Metalign	family	F1 score	peabody	0.888888888888889
Metalign	family	False negatives	peabody	0.0
Metalign	family	False positives	peabody	2.0
Metalign	family	Jaccard index	peabody	0.8
Metalign	family	Taxon counts	peabody	10.0
Metalign	family	Purity (precision)	peabody	0.8
Metalign	family	Completeness (recall)	peabody	1.0
Metalign	family	True positives	peabody	8.0
Metalign	phylum	F1 score	peabody	1.0
Metalign	phylum	False negatives	peabody	0.0
Metalign	phylum	False positives	peabody	0.0
Metalign	phylum	Jaccard index	peabody	1.0
Metalign	phylum	Taxon counts	peabody	3.0
Metalign	phylum	Purity (precision)	peabody	1.0
Metalign	phylum	Completeness (recall)	peabody	1.0
Metalign	phylum	True positives	peabody	3.0
Metalign	class	F1 score	peabody	1.0
Metalign	class	False negatives	peabody	0.0
Metalign	class	False positives	peabody	0.0
Metalign	class	Jaccard index	peabody	1.0
Metalign	class	Taxon counts	peabody	5.0
Metalign	class	Purity (precision)	peabody	1.0
Metalign	class	Completeness (recall)	peabody	1.0
Metalign	class	True positives	peabody	5.0
Metalign	strain	False negatives	peabody	11.0
Metalign	strain	False positives	peabody	29.0
Metalign	strain	Jaccard index	peabody	0.0
Metalign	strain	Taxon counts	peabody	29.0
Metalign	strain	Purity (precision)	peabody	0.0
Metalign	strain	Completeness (recall)	peabody	0.0
Metalign	strain	True positives	peabody	0.0
Metalign	superkingdom	F1 score	peabody	1.0
Metalign	superkingdom	False negatives	peabody	0.0
Metalign	superkingdom	False positives	peabody	0.0
Metalign	superkingdom	Jaccard index	peabody	1.0
Metalign	superkingdom	Taxon counts	peabody	1.0
Metalign	superkingdom	Purity (precision)	peabody	1.0
Metalign	superkingdom	Completeness (recall)	peabody	1.0
Metalign	superkingdom	True positives	peabody	1.0
Metalign	species	F1 score	peabody	0.15
Metalign	species	False negatives	peabody	8.0
Metalign	species	False positives	peabody	26.0
Metalign	species	Jaccard index	peabody	0.08108108108108109
Metalign	species	Taxon counts	peabody	29.0
Metalign	species	Purity (precision)	peabody	0.10344827586206896
Metalign	species	Completeness (recall)	peabody	0.2727272727272727
Metalign	species	True positives	peabody	3.0
Metalign	genus	F1 score	peabody	0.888888888888889
Metalign	genus	False negatives	peabody	0.0
Metalign	genus	False positives	peabody	2.0
Metalign	genus	Jaccard index	peabody	0.8
Metalign	genus	Taxon counts	peabody	10.0
Metalign	genus	Purity (precision)	peabody	0.8
Metalign	genus	Completeness (recall)	peabody	1.0
Metalign	genus	True positives	peabody	8.0
Metalign	class	L1 norm error	peabody	0.10568029962031376
Metalign	family	L1 norm error	peabody	0.14962009201091375
Metalign	genus	L1 norm error	peabody	0.16224203281604888
Metalign	order	L1 norm error	peabody	0.14487937651493116
Metalign	phylum	L1 norm error	peabody	0.0909080730276978
Metalign	species	L1 norm error	peabody	1.6320775362822164
Metalign	strain	L1 norm error	peabody	2.0
Metalign	superkingdom	L1 norm error	peabody	0.0
Metalign	na	Weighted UniFrac error	peabody	4.30066370863541
Metalign	na	Unweighted UniFrac error	peabody	230.38423097234772
Bracken+Kraken2	class	Bray-Curtis distance	peabody	0.07395508047081428
Bracken+Kraken2	family	Bray-Curtis distance	peabody	0.07908202717601216
Bracken+Kraken2	genus	Bray-Curtis distance	peabody	0.08705344020314622
Bracken+Kraken2	order	Bray-Curtis distance	peabody	0.08023152987686208
Bracken+Kraken2	phylum	Bray-Curtis distance	peabody	0.06470664156844701
Bracken+Kraken2	species	Bray-Curtis distance	peabody	0.7647972194800922
Bracken+Kraken2	superkingdom	Bray-Curtis distance	peabody	0.0013201320132013327
Bracken+Kraken2	superkingdom	Shannon diversity	peabody	0.010071766575217148
Bracken+Kraken2	superkingdom	Shannon equitability	peabody	0.014530487691056998
Bracken+Kraken2	phylum	Shannon diversity	peabody	0.8822928598668012
Bracken+Kraken2	phylum	Shannon equitability	peabody	0.6364397667707876
Bracken+Kraken2	class	Shannon diversity	peabody	1.3596151083726173
Bracken+Kraken2	class	Shannon equitability	peabody	0.7588156400023834
Bracken+Kraken2	order	Shannon diversity	peabody	1.9618572367991658
Bracken+Kraken2	order	Shannon equitability	peabody	0.8181580150953199
Bracken+Kraken2	family	Shannon diversity	peabody	1.9703121646052815
Bracken+Kraken2	family	Shannon equitability	peabody	0.8216839938576238
Bracken+Kraken2	genus	Shannon diversity	peabody	2.028473233223209
Bracken+Kraken2	genus	Shannon equitability	peabody	0.7316170685367814
Bracken+Kraken2	species	Shannon diversity	peabody	2.3543051754137103
Bracken+Kraken2	species	Shannon equitability	peabody	0.8145336906859881
Bracken+Kraken2	order	F1 score	peabody	0.8421052631578948
Bracken+Kraken2	order	False negatives	peabody	0.0
Bracken+Kraken2	order	False positives	peabody	3.0
Bracken+Kraken2	order	Jaccard index	peabody	0.7272727272727273
Bracken+Kraken2	order	Taxon counts	peabody	11.0
Bracken+Kraken2	order	Purity (precision)	peabody	0.7272727272727273
Bracken+Kraken2	order	Completeness (recall)	peabody	1.0
Bracken+Kraken2	order	True positives	peabody	8.0
Bracken+Kraken2	family	F1 score	peabody	0.8421052631578948
Bracken+Kraken2	family	False negatives	peabody	0.0
Bracken+Kraken2	family	False positives	peabody	3.0
Bracken+Kraken2	family	Jaccard index	peabody	0.7272727272727273
Bracken+Kraken2	family	Taxon counts	peabody	11.0
Bracken+Kraken2	family	Purity (precision)	peabody	0.7272727272727273
Bracken+Kraken2	family	Completeness (recall)	peabody	1.0
Bracken+Kraken2	family	True positives	peabody	8.0
Bracken+Kraken2	phylum	F1 score	peabody	0.8571428571428571
Bracken+Kraken2	phylum	False negatives	peabody	0.0
Bracken+Kraken2	phylum	False positives	peabody	1.0
Bracken+Kraken2	phylum	Jaccard index	peabody	0.75
Bracken+Kraken2	phylum	Taxon counts	peabody	4.0
Bracken+Kraken2	phylum	Purity (precision)	peabody	0.75
Bracken+Kraken2	phylum	Completeness (recall)	peabody	1.0
Bracken+Kraken2	phylum	True positives	peabody	3.0
Bracken+Kraken2	class	F1 score	peabody	0.9090909090909091
Bracken+Kraken2	class	False negatives	peabody	0.0
Bracken+Kraken2	class	False positives	peabody	1.0
Bracken+Kraken2	class	Jaccard index	peabody	0.8333333333333334
Bracken+Kraken2	class	Taxon counts	peabody	6.0
Bracken+Kraken2	class	Purity (precision)	peabody	0.8333333333333334
Bracken+Kraken2	class	Completeness (recall)	peabody	1.0
Bracken+Kraken2	class	True positives	peabody	5.0
Bracken+Kraken2	strain	False negatives	peabody	11.0
Bracken+Kraken2	strain	False positives	peabody	0.0
Bracken+Kraken2	strain	Jaccard index	peabody	0.0
Bracken+Kraken2	strain	Taxon counts	peabody	0.0
Bracken+Kraken2	strain	Purity (precision)	peabody	0.0
Bracken+Kraken2	strain	Completeness (recall)	peabody	0.0
Bracken+Kraken2	strain	True positives	peabody	0.0
Bracken+Kraken2	superkingdom	F1 score	peabody	0.6666666666666666
Bracken+Kraken2	superkingdom	False negatives	peabody	0.0
Bracken+Kraken2	superkingdom	False positives	peabody	1.0
Bracken+Kraken2	superkingdom	Jaccard index	peabody	0.5
Bracken+Kraken2	superkingdom	Taxon counts	peabody	2.0
Bracken+Kraken2	superkingdom	Purity (precision)	peabody	0.5
Bracken+Kraken2	superkingdom	Completeness (recall)	peabody	1.0
Bracken+Kraken2	superkingdom	True positives	peabody	1.0
Bracken+Kraken2	species	F1 score	peabody	0.20689655172413793
Bracken+Kraken2	species	False negatives	peabody	8.0
Bracken+Kraken2	species	False positives	peabody	15.0
Bracken+Kraken2	species	Jaccard index	peabody	0.11538461538461539
Bracken+Kraken2	species	Taxon counts	peabody	18.0
Bracken+Kraken2	species	Purity (precision)	peabody	0.16666666666666666
Bracken+Kraken2	species	Completeness (recall)	peabody	0.2727272727272727
Bracken+Kraken2	species	True positives	peabody	3.0
Bracken+Kraken2	genus	F1 score	peabody	0.6666666666666666
Bracken+Kraken2	genus	False negatives	peabody	0.0
Bracken+Kraken2	genus	False positives	peabody	8.0
Bracken+Kraken2	genus	Jaccard index	peabody	0.5
Bracken+Kraken2	genus	Taxon counts	peabody	16.0
Bracken+Kraken2	genus	Purity (precision)	peabody	0.5
Bracken+Kraken2	genus	Completeness (recall)	peabody	1.0
Bracken+Kraken2	genus	True positives	peabody	8.0
Bracken+Kraken2	class	L1 norm error	peabody	0.14791016094162857
Bracken+Kraken2	family	L1 norm error	peabody	0.1581640543520243
Bracken+Kraken2	genus	L1 norm error	peabody	0.17410688040629244
Bracken+Kraken2	order	L1 norm error	peabody	0.16046305975372413
Bracken+Kraken2	phylum	L1 norm error	peabody	0.12941328313689401
Bracken+Kraken2	species	L1 norm error	peabody	1.5295944389601843
Bracken+Kraken2	superkingdom	L1 norm error	peabody	0.002640264026402665
Bracken+Kraken2	na	Weighted UniFrac error	peabody	3.3103716190916974
Bracken+Kraken2	na	Unweighted UniFrac error	peabody	170.09593277077374
CLARK	class	Bray-Curtis distance	peabody	0.10154255413236357
CLARK	family	Bray-Curtis distance	peabody	0.1512393300372343
CLARK	genus	Bray-Curtis distance	peabody	0.1612788164144881
CLARK	order	Bray-Curtis distance	peabody	0.1519681266360478
CLARK	phylum	Bray-Curtis distance	peabody	0.06143384536331391
CLARK	species	Bray-Curtis distance	peabody	0.8292263093811095
CLARK	superkingdom	Bray-Curtis distance	peabody	0.0
CLARK	superkingdom	Shannon diversity	peabody	0.0
CLARK	superkingdom	Shannon equitability	peabody	0.0
CLARK	phylum	Shannon diversity	peabody	0.9353375143502117
CLARK	phylum	Shannon equitability	peabody	0.8513808956972051
CLARK	class	Shannon diversity	peabody	1.4504852718776706
CLARK	class	Shannon equitability	peabody	0.9012371714817933
CLARK	order	Shannon diversity	peabody	1.9362559592504793
CLARK	order	Shannon equitability	peabody	0.8812280634498807
CLARK	family	Shannon diversity	peabody	1.9501594454740874
CLARK	family	Shannon equitability	peabody	0.8469434860009015
CLARK	genus	Shannon diversity	peabody	1.9924217372464084
CLARK	genus	Shannon equitability	peabody	0.8018094914818598
CLARK	species	Shannon diversity	peabody	2.2595381302797146
CLARK	species	Shannon equitability	peabody	0.8343782287935632
CLARK	order	F1 score	peabody	0.9411764705882353
CLARK	order	False negatives	peabody	0.0
CLARK	order	False positives	peabody	1.0
CLARK	order	Jaccard index	peabody	0.8888888888888888
CLARK	order	Taxon counts	peabody	9.0
